""	13
"1"	4
"1,000"	1
"1,100"	1
"1,400"	1
"1.41421"	1
"1.a"	1
"1.b"	1
"1.c"	2
"1.d"	1
"1.e"	2
"1.e.1"	5
"1.e.2"	1
"1.e.3"	1
"1.e.4"	1
"1.e.5"	1
"1.e.6"	1
"1.e.7"	3
"1.e.8"	4
"1.e.9"	3
"1.f"	1
"1.f.1"	1
"1.f.2"	1
"1.f.3"	4
"1.f.4"	1
"1.f.5"	1
"1.f.6"	1
"100"	4
"102"	1
"10\/100"	1
"112--a"	1
"12,000"	2
"12.5"	1
"1228"	1
"13"	1
"137"	1
"139"	1
"14.3"	1
"147"	1
"14\/100"	2
"150"	1
"1500"	1
"155"	1
"160,000"	1
"1600"	1
"162"	2
"171"	1
"1747"	1
"1794"	2
"1794-5"	1
"1795"	2
"18"	1
"1801"	1
"1809"	1
"1813"	1
"1815"	1
"1818"	1
"182"	1
"1821"	1
"1822"	1
"1826"	1
"1828"	1
"1831"	2
"1834"	1
"1836"	2
"1837"	2
"1839"	1
"1843-44"	1
"1844"	3
"1844--honoured"	1
"1844-46"	1
"1845"	3
"1846"	1
"1849"	1
"1850"	1
"1851"	2
"1852"	3
"1853"	3
"1853-57"	1
"1854"	1
"1854-5"	1
"1855"	2
"1858"	5
"1859"	8
"1860"	3
"1861"	2
"1867"	2
"188"	1
"18\/94"	1
"18\/98"	1
"19"	2
"1\/229"	1
"1\/352"	1
"2"	1
"2,290"	1
"2,300"	1
"2,700"	1
"20"	1
"20,000"	1
"200"	1
"2001"	1
"2009.txt"	1
"2009.zip"	1
"2048"	1
"230"	1
"233"	1
"24"	1
"240,000"	1
"25"	2
"250"	1
"251"	1
"260"	2
"280"	1
"283"	1
"295"	1
"2nd"	1
"3"	3
"3,000"	1
"30"	2
"300"	4
"3000"	1
"322"	1
"339"	1
"34"	1
"35"	2
"357"	2
"36"	1
"37"	1
"370"	1
"3\/4"	1
"4"	3
"4,000"	1
"405"	1
"41"	1
"430"	1
"4557"	1
"46"	1
"468"	1
"4th"	1
"5"	1
"5,000"	1
"50"	1
"500"	3
"500-510"	1
"501(c)(3"	2
"51"	1
"537"	1
"550"	1
"581"	1
"596-1887"	1
"6"	2
"6.9"	1
"60"	2
"600"	3
"64-6221541"	1
"64\/87"	1
"66-67"	1
"660"	1
"7"	2
"7.7"	1
"72,584"	1
"740"	1
"750"	1
"764"	1
"78"	1
"780"	1
"796"	1
"798"	2
"801"	1
"809"	1
"84116"	1
"847"	1
"86"	1
"90"	3
"900"	2
"924"	1
"960"	1
"99712"	1
"a"	3376
"a.a"	1
"a1"	5
"a10"	4
"a14"	9
"a2"	1
"a5"	2
"abdomen"	3
"aberrant"	10
"aberrant.--forms"	1
"aberration"	6
"abhorrent"	1
"abide"	1
"abilities"	1
"ability"	4
"abjectly"	1
"able"	55
"ably"	5
"abnormal"	16
"abnormal.--contrary"	1
"abnormally"	2
"abodes"	2
"aboriginal"	23
"aboriginally"	10
"aborigines"	1
"aborted"	15
"aborted.--an"	1
"abortion"	6
"abound"	4
"abounded"	1
"abounding"	3
"abounds"	4
"about"	79
"above"	78
"above-described"	1
"above-named"	3
"above-specified"	2
"abraded"	2
"abrupt"	25
"abruptly"	9
"absence"	26
"absent"	8
"absolute"	10
"absolutely"	29
